Lizard_ID,Temperature,Ss,RMR,Topt_best,Pmax_best,Pmean_best,LowerB80_best,UpperB80_best,B80width_best,activity,snout_em,body_em,time_to_optimal,time_to_basking,Mb_avg
BGR,35,2.03,3.620119094,41.1,1.835605917,0.980188135,31.5,43,11.5,2.2503,5.425083333,10.11675,80,80,24.91263333
BGW,35,1.44,3.057839894,39.8,1.869545138,1.042371626,31.6,42.9,11.3,17.8861,2.637333333,2.6435,2.240416667,6.7735,26.5769
BWG,35,1.06,3.300505805,33.6,1.134472704,0.710451823,24.1,40,15.9,0,20.847,20.91741667,80,80,25.6997
DbWY,35,,3.030641471,,,,,,,23.51635,6.532666667,6.626833333,2.102166667,14.68908333,19.97125
DbYR,35,,3.343783871,,,,,,,0,16.01008333,45.77083333,80,80,25.90805
GBG,35,1.22,,39.3,1.262110743,0.78951466,27.9,42.7,14.8,,,,,,26.4217
GBR,35,1.18,,43.1,1.354809267,0.866736309,28.6,44.3,15.7,,,,,,22.8662
GBW,35,0.65,3.784175405,,,,,,,5.31285,17.52175,17.93041667,1.088166667,5.709833333,30.5581
GDbB,35,,3.36591993,,,,,,,52.84665,1.869,2.461833333,0.442583333,0.6405,21.26805
GRB,35,0.57,,28.5,0.852549132,0.525870349,20.2,36.8,16.6,,,,,,27.5507
GYB,35,1.86,4.020789494,37.6,1.544305328,0.887438303,29.3,42,12.7,15.3872,4.459166667,6.111833333,1.157916667,51.09616667,22.43563333
RBR,35,1.48,3.821477471,39.5,1.544606085,0.967370754,28.2,42.7,14.5,10.7984,4.987333333,5.449083333,1.643916667,5.0725,25.39316667
RBY,35,0.69,2.408483405,26.8,0.87204993,0.580173916,17.7,35.8,18.1,13.24055,8.530333333,8.533083333,80,80,26.39193333
RGB,35,0.55,3.124511405,43,0.498324975,0.316670821,28.2,44.3,16.1,8.74825,7.813333333,8.81125,0.651833333,2.540583333,25.21926667
RWY,35,0.99,3.54889833,42.8,1.05711815,0.672750812,28.6,44.2,15.6,24.46105,5.104166667,5.104833333,4.937833333,17.82516667,25.40926667
RYB,35,1.93,2.869199405,43,2.031532737,1.026353945,34.9,44.3,9.4,0,58.82375,60,80,80,23.7342
RYW,35,1.52,3.684827894,39.9,2.105087043,1.21580837,29.4,42.5,13.1,19.0107,5.102916667,5.106083333,80,80,23.80916667
WBG,35,0.95,3.485963894,41.1,1.194823364,0.704341409,29.7,43.2,13.5,19.5773,19.89633333,20.44783333,3.158,21.89025,27.09136667
WGB,35,1.13,3.04029993,38.7,1.261832823,0.78608327,27.2,42.5,15.3,21.2189,2.754,2.756333333,1.94975,5.99375,28.19243333
WYR,35,2.12,3.414741005,35.1,1.853047108,1.159633642,28.2,41.6,13.4,7.5072,2.01975,2.923416667,1.181583333,8.788333333,22.8176
YDbY,35,,2.369408111,,,,,,,16.8223,3.4475,3.628083333,1.405166667,16.96633333,18.2829
YGB,35,,3.082785494,,,,,,,8.2382,8.275166667,16.84616667,1.982333333,36.06225,24.23085
YGW,35,1.35,,34.3,1.561845431,0.953132115,25.1,40.2,15.1,,,,,,29.5712
YRDb,35,,3.390202271,,,,,,,21.7162,5.99525,7.103416667,0.654833333,3.258166667,22.32075
YWY,35,1.12,2.799406271,29.4,1.445501104,0.957991868,23.1,35.6,12.5,8.89085,2.973083333,3.0325,0.826416667,0.84,24.63163333
BGR,25,1.07,1.427316,,,,,,,1.02085,35.84766667,57.53725,80,80,24.91263333
BGW,25,1.17,3.681972,,,,,,,4.5309,2.93775,2.943416667,2.240416667,6.7735,26.5769
BWG,25,0.92,1.24654872,,,,,,,0,38.03641667,60,80,80,25.6997
DbWY,25,,1.17222288,,,,,,,3.7911,3.770833333,4.244166667,2.102166667,14.68908333,19.97125
DbYR,25,,4.0215648,,,,,,,0,27.89216667,27.89733333,80,80,25.90805
GBG,25,0.96,,,,,,,,,,,,,26.4217
GBR,25,1.05,,,,,,,,,,,,,22.8662
GBW,25,0.7,1.7677248,,,,,,,3.87055,5.401166667,7.037083333,1.088166667,5.709833333,30.5581
GDbB,25,,1.17173016,,,,,,,18.689,2.437416667,2.705916667,0.442583333,0.6405,21.26805
GRB,25,0.95,,,,,,,,,,,,,27.5507
GYB,25,1.03,0.90090696,,,,,,,9.56285,6.250416667,8.136333333,1.157916667,51.09616667,22.43563333
RBR,25,1.39,4.7272008,,,,,,,1.68615,6.109083333,6.292166667,1.643916667,5.0725,25.39316667
RBY,25,0.82,1.53923232,,,,,,,3.2895,10.74191667,33.12208333,80,80,26.39193333
RGB,25,0.37,1.476216,,,,,,,1.8382,10.31358333,10.66591667,0.651833333,2.540583333,25.21926667
RWY,25,0.83,0.45163704,,,,,,,5.4182,12.65158333,18.24241667,4.937833333,17.82516667,25.40926667
RYB,25,1.26,1.46295576,,,,,,,0,60,60,80,80,23.7342
RYW,25,1.59,1.0264728,,,,,,,4.1063,2.60325,2.620583333,80,80,23.80916667
WBG,25,0.87,4.7120232,,,,,,,1.00945,17.2735,17.81458333,3.158,21.89025,27.09136667
WGB,25,1.14,1.29377616,,,,,,,14.67875,8.197916667,8.204166667,1.94975,5.99375,28.19243333
WYR,25,1.09,1.72540056,,,,,,,6.8132,3.492083333,3.49775,1.181583333,8.788333333,22.8176
YDbY,25,,1.04503464,,,,,,,13.5505,7.714416667,10.90125,1.405166667,16.96633333,18.2829
YGB,25,,1.4987556,,,,,,,0.88675,8.10025,8.107666667,1.982333333,36.06225,24.23085
YGW,25,1.41,,,,,,,,,,,,,29.5712
YRDb,25,,1.12599096,,,,,,,5.3041,12.90625,13.25508333,0.654833333,3.258166667,22.32075
YWY,25,1.21,1.05748368,,,,,,,0.0735,5.303416667,6.840416667,0.826416667,0.84,24.63163333
